export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Argentina,Madagascar,88.88300000000001,111.553,2018
Argentina,Malaysia,1279.60523091563,297.47810828241995,2018
Argentina,Maldives,264.401145586845,81.4640511607175,2018
Argentina,Malta,110.83644093116501,26.097503917573103,2018
Argentina,Mauritius,100.1858644858783,23.6023020194489,2018
Argentina,Mexico,21222.888719843064,5945.160005826459,2018
Argentina,Mongolia,137.506,35.519,2018
Argentina,Montenegro,6.727,0.99,2018
Argentina,Morocco,30.248,7.946000000000001,2018
Argentina,Mozambique,27.079,7.1129999999999995,2018
Argentina,Myanmar,20.705,3.1319999999999997,2018
Argentina,Netherlands,29444.94143926945,8152.818780864389,2018
Argentina,New Zealand,1029.2880708902198,256.542246525656,2018
Argentina,Nicaragua,523.971368685702,134.645351098517,2018
Argentina,Nigeria,138.924602950187,29.1639463711237,2018
Argentina,Norway,2963.39174159068,916.638570661968,2018
Argentina,"Other Asia, nes",2875.696474896796,612.6256692900739,2018
Argentina,Panama,4580.448,755.026,2018
Argentina,Paraguay,18708.97874637614,11432.806149272246,2018
Argentina,Peru,14594.560121215345,5422.423542652879,2018
Argentina,Philippines,901.096597159793,201.71927976644199,2018
Argentina,Poland,2454.79190864059,667.143823891202,2018
Argentina,Portugal,153.55907534995399,21.235172265930103,2018
Argentina,Qatar,616.393729500291,133.893464911261,2018
Argentina,Rep. of Korea,5192.599819438537,1095.772488909969,2018
Argentina,Romania,132.640365933459,28.4267704969419,2018
Argentina,Russian Federation,10000.203027972959,6095.444080190649,2018
Argentina,Saint Lucia,457.929,247.593,2018
Argentina,Saint Vincent and the Grenadines,43.272,10.895,2018
Argentina,Senegal,26.1158149992803,2.22200357345833,2018
Argentina,Serbia,16.373,1.161,2018
Argentina,Seychelles,32.1798685954549,2.94296444254834,2018
Argentina,Singapore,4106.416011969303,734.640133410825,2018
Argentina,Slovakia,139.620593095892,25.3057516327103,2018
Argentina,Slovenia,29.916999999999998,3.862,2018
Argentina,So. African Customs Union,4978.229533444483,14628.833608613713,2018
Argentina,Spain,11704.735169994226,26516.845803541433,2018
Argentina,Sri Lanka,236.235,68.47399999999999,2018
Argentina,Suriname,41.53,19.336,2018
Argentina,Sweden,9053.82664831227,3329.25223782471,2018
Argentina,Switzerland,17746.256252837873,3495.6600286941116,2018
Argentina,Thailand,801.745204684435,143.192515171636,2018
Argentina,Trinidad and Tobago,413.65,137.639,2018
Argentina,Turkey,75.00197927335209,20.4358662339884,2018
Argentina,USA,260930.68678288403,61309.66194144115,2018
Argentina,Uganda,47.021,16.267,2018
Argentina,Ukraine,1082.36510715601,355.83036049006404,2018
Argentina,United Arab Emirates,2911.12043338258,636.961006836963,2018
Argentina,United Kingdom,106916.72336676242,35382.090183715816,2018
Argentina,Uruguay,7784.6258410731925,2365.8393908242842,2018
Argentina,Uzbekistan,2.891,0.675,2018
